estacion,fecha,cantidad_pasos
alberdi,7/31/2016,5746
alberdi,8/1/2016,9221
alberdi,8/2/2016,9336
alberdi,8/3/2016,9630
alberdi,8/4/2016,9894
alberdi,8/5/2016,9729
alberdi,8/6/2016,9349
alberdi,8/7/2016,7403
alberdi,8/8/2016,8982
alberdi,8/9/2016,9550
alberdi,8/10/2016,9558
alberdi,8/11/2016,9997
alberdi,8/12/2016,10692
alberdi,8/13/2016,8733
alberdi,8/14/2016,6496
alberdi,8/15/2016,6790
alberdi,8/16/2016,10595
alberdi,8/17/2016,9764
alberdi,8/18/2016,10463
alberdi,8/19/2016,10613
alberdi,8/20/2016,9244
alberdi,8/21/2016,6531
alberdi,8/22/2016,8855
alberdi,8/23/2016,9578
alberdi,8/24/2016,9218
alberdi,8/25/2016,9883
alberdi,8/26/2016,10238
alberdi,8/27/2016,7150
alberdi,8/28/2016,5968
alberdi,8/29/2016,9116
alberdi,8/30/2016,9406
alberdi,8/31/2016,9932
alberdi,9/1/2016,10249
alberdi,9/2/2016,10686
alberdi,9/3/2016,9111
alberdi,9/4/2016,6382
alberdi,9/5/2016,9021
alberdi,9/6/2016,8935
alberdi,9/7/2016,9757
alberdi,9/8/2016,10878
alberdi,9/9/2016,10375
alberdi,9/10/2016,9063
alberdi,9/11/2016,6986
alberdi,9/12/2016,8405
alberdi,9/13/2016,9144
alberdi,9/14/2016,10320
alberdi,9/15/2016,10564
alberdi,9/16/2016,10580
alberdi,9/17/2016,9639
alberdi,9/18/2016,6831
alberdi,9/19/2016,9493
alberdi,9/20/2016,9785
alberdi,9/21/2016,9887
alberdi,9/22/2016,10411
alberdi,9/23/2016,10863
alberdi,9/24/2016,8855
alberdi,9/25/2016,6685
alberdi,9/26/2016,9307
alberdi,9/27/2016,9581
alberdi,9/28/2016,10246
alberdi,9/29/2016,10154
alberdi,9/30/2016,9985
alberdi,10/1/2016,8852
alberdi,10/2/2016,6234
alberdi,10/3/2016,9553
alberdi,10/4/2016,9589
alberdi,10/5/2016,9828
alberdi,10/6/2016,10351
alberdi,10/7/2016,10295
alberdi,10/8/2016,8825
alberdi,10/9/2016,7285
alberdi,10/10/2016,6869
alberdi,10/11/2016,10579
alberdi,10/12/2016,9859
alberdi,10/13/2016,9990
alberdi,10/14/2016,10281
alberdi,10/15/2016,8337
alberdi,10/16/2016,7760
alberdi,10/17/2016,9501
alberdi,10/18/2016,9426
alberdi,10/19/2016,9682
alberdi,10/20/2016,9910
alberdi,10/21/2016,10168
alberdi,10/22/2016,9107
alberdi,10/23/2016,6823
alberdi,10/24/2016,9665
alberdi,10/25/2016,9124
alberdi,10/26/2016,9985
alberdi,10/27/2016,10222
alberdi,10/28/2016,9649
alberdi,10/29/2016,9405
alberdi,10/30/2016,6974
alberdi,10/31/2016,10057
alberdi,11/1/2016,9034
alberdi,11/2/2016,9922
alberdi,11/3/2016,10369
alberdi,11/4/2016,10437
alberdi,11/5/2016,9644
alberdi,11/6/2016,6872
alberdi,11/7/2016,9730
alberdi,11/8/2016,9369
alberdi,11/9/2016,10196
alberdi,11/10/2016,10400
alberdi,11/11/2016,11168
alberdi,11/12/2016,9688
alberdi,11/13/2016,6782
alberdi,11/14/2016,10007
alberdi,11/15/2016,9840
alberdi,11/16/2016,9778
alberdi,11/17/2016,10083
alberdi,11/18/2016,11498
alberdi,11/19/2016,9521
alberdi,11/20/2016,7255
alberdi,11/21/2016,9832
alberdi,11/22/2016,10082
alberdi,11/23/2016,9911
alberdi,11/24/2016,10457
alberdi,11/25/2016,11236
alberdi,11/26/2016,8573
alberdi,11/27/2016,6728
alberdi,11/28/2016,7067
alberdi,11/29/2016,10039
alberdi,11/30/2016,9606
alberdi,12/1/2016,10241
alberdi,12/2/2016,10585
alberdi,12/3/2016,9191
alberdi,12/4/2016,6436
alberdi,12/5/2016,10202
alberdi,12/6/2016,11066
alberdi,12/7/2016,11772
alberdi,12/8/2016,6633
alberdi,12/9/2016,6567
alberdi,12/10/2016,8901
alberdi,12/11/2016,7505
alberdi,12/12/2016,11104
alberdi,12/13/2016,10027
alberdi,12/14/2016,11021
alberdi,12/15/2016,10757
alberdi,12/16/2016,10869
alberdi,12/17/2016,10616
alberdi,12/18/2016,7488
alberdi,12/19/2016,10968
alberdi,12/20/2016,11283
alberdi,12/21/2016,12056
alberdi,12/22/2016,11850
alberdi,12/23/2016,11716
alberdi,12/24/2016,7456
alberdi,12/25/2016,7239
alberdi,12/26/2016,9561
alberdi,12/27/2016,10643
alberdi,12/28/2016,10891
alberdi,12/29/2016,11364
alberdi,12/30/2016,10041
alberdi,12/31/2016,6131
alberdi,1/1/2017,6735
alberdi,1/2/2017,9331
alberdi,1/3/2017,9442
alberdi,1/4/2017,9467
alberdi,1/5/2017,9912
alberdi,1/6/2017,9792
alberdi,1/7/2017,7336
alberdi,1/8/2017,5985
alberdi,1/9/2017,9295
alberdi,1/10/2017,9118
alberdi,1/11/2017,9441
alberdi,1/12/2017,9682
alberdi,1/13/2017,9602
alberdi,1/14/2017,7567
alberdi,1/15/2017,6126
alberdi,1/16/2017,9411
alberdi,1/17/2017,9101
alberdi,1/18/2017,8929
alberdi,1/19/2017,10288
alberdi,1/20/2017,9317
alberdi,1/21/2017,7176
